HL70126=RD,Records,HL70126
HL70008=AA,Original Mode: Application Accept,HL70008
HL70008=AE,Original Mode: Application Error,HL70008
HL70008=AR,Original Mode: Application Reject,HL70008
HL70008=CA,Enhanced Mode: Commit Accept,HL70008
HL70008=CE,Enhanced Mode: Commit Error,HL70008
HL70008=CR,Enhanced Mode: Commit Reject,HL70008

SEX=F,Female,HL70001
SEX=M,Male,HL70001
SEX=U,Unknown/undifferentiated,HL70001
RACE=1002-5,American Indian or Alaskan Native,HL70005
RACE=2028-9,Asian,HL70005
RACE=2076-8,Native Hawaiian or Other Pacific Islander,HL70005
RACE=2054-5,Black or African-American,HL70005
RACE=2106-3,White,HL70005
RACE=2131-1,Other Race,HL70005
RACE=,Unknown/undetermined,HL70005
RACE=I,American Indian or Alaskan Native,HL70005
RACE=A,Asian or Pacific Islander,HL70005
RACE=B,Black or African-American,HL70005
RACE=W,White,HL70005
RACE=O,Other Race,HL70005
RACE=U,Unknown/undetermined,HL70005
ETHNICITY=2135-2,Hispanic or Latino,CDCREC
ETHNICITY=2186-5,not Hispanic or Latino,CDCREC
ETHNICITY=,Unknown,CDCREC
ETHNICITY=2135-2,Hispanic or Latino,HL70189
ETHNICITY=2186-5,not Hispanic or Latino,HL70189
ETHNICITY=,Unknown,HL70189
ETHNICITY=H,Hispanic or Latino,HL70189
ETHNICITY=N,not Hispanic or Latino,HL70189
ETHNICITY=U,Unknown,HL70189
HISTORICAL=00,New immunization record,NIP001
HISTORICAL=01,Historical information - source unspecified,NIP001
HISTORICAL=02,Historical information - from other provider,NIP001
HISTORICAL=03,Historical information - from parent’s written record,NIP001
HISTORICAL=04,Historical information - from parent’s recall,NIP001
HISTORICAL=05,Historical information - from other registry,NIP001
HISTORICAL=06,Historical information - from birth certificate,NIP001
HISTORICAL=07,Historical information - from school record,NIP001
HISTORICAL=08,Historical information - from public agency,NIP001
VFC=V01,Not VFC eligible,HL70064
VFC=V02,VFC eligible-Medicaid/Medicaid Managed Care,HL70064
VFC=V03,VFC eligible- Uninsured,HL70064
VFC=V04,VFC eligible- American Indian/Alaskan Native,HL70064
VFC=V05,VFC eligible-Federally Qualified Health Center Patient (under-insured),HL70064
VFC=V07,Local-specific eligibility,HL70064
HOD=409498004,Anthrax (disorder),SCT
HOD=397428000,Diphtheria (disorder),SCT
HOD=76902006,Tetanus (disorder),SCT
HOD=27836007,Pertussis (disorder),SCT
HOD=40468003,Viral hepatitis, type A (disorder),SCT
HOD=66071002,Type B viral hepatitis (disorder),SCT
HOD=91428005,Haemophilus influenzae infection (disorder),SCT
HOD=240532009,Human papilloma virus infection (disorder),SCT
HOD=6142004,Influenza (disorder),SCT
HOD=52947006,Japanese encephalitis virus disease (disorder),SCT
